t , y
3.3033033033033035 , -148.01532627163112, 296.0308042614428
3.3533533533533535 , -163.58381571226752, 327.1677579193458
3.4034034034034035 , -180.77459434643663, 361.549294045249
3.4534534534534536 , -199.76509779081834, 399.53028387454583
3.5035035035035036 , -220.7547505336209, 441.5095762132119
3.5535535535535536 , -243.96496593458062, 487.92999743780524
3.6036036036036037 , -269.6391462249622, 539.2783514954662
3.6536536536536537 , -298.0426825075583, 596.0854199039173
3.7037037037037037 , -329.4629547566902, 658.9259617514639
3.753753753753754 , -364.20933181820703, 728.4187136969933
3.8038038038038042 , -402.6131714094859, 805.2263899699747
3.8538538538538543 , -445.0281031622224, 890.0562484620334
3.9039039039039043 , -491.9249285210097, 983.8498930489925
3.9539539539539543 , -543.7692943419622, 1087.5386190908719
4.004004004004004 , -601.0192263639843, 1202.0384781584435
4.054054054054054 , -664.2211462465755, 1328.4423136325975
4.104104104104104 , -734.0098715698314, 1468.0197607043415
4.1541541541541545 , -811.1086158344426, 1622.217246374801
4.2042042042042045 , -896.3289884616959, 1792.65798945522
4.2542542542542545 , -990.5709947934731, 1981.1420005669593
4.3043043043043046 , -1094.823036092252, 2189.6460821414985
4.354354354354355 , -1210.161909541106, 2420.3238284204353
4.404404404404405 , -1337.7528082437036, 2675.5056254554834
4.454454454454455 , -1478.8493212243093, 2957.6986511084774
4.504504504504505 , -1634.793433427783, 3269.5868750513673
4.554554554554555 , -1807.0176116957668, 3614.0352307205603
4.604604604604605 , -1997.4470493763263, 3994.894105012984
4.654654654654655 , -2207.9614732510104, 4415.922951785367
4.704704704704705 , -2440.4198586244165, 4880.83972166362
4.754754754754755 , -2697.040656045937, 5394.081315757743
4.804804804804805 , -2980.401791309761, 5960.803585661828
4.854854854854855 , -3293.440665454874, 6586.8813334540555
4.904904904904905 , -3639.4541547650556, 7278.908311696696
4.954954954954955 , -4022.0986107688855, 8044.1972234361165
5.005005005005005 , -4445.389860239734, 8890.77972220277
5.055055055055055 , -4913.703205195772, 9827.4064120112
5.105105105105105 , -5431.773422899964, 10863.546847360043
5.155155155155155 , -6004.694765860073, 12009.389533232023
5.205205205205205 , -6637.920961828655, 13275.841925093966
5.255255255255255 , -7337.26615464787, 14674.53231058643
5.305305305305305 , -8110.451924203201, 16220.903849509516
5.355355355355356 , -8965.261898034312, 17930.523796999936
5.405405405405406 , -9909.202597598, 19818.4051959743
5.455455455455456 , -10951.249410345972, 21902.498821338068
5.505505505505506 , -12101.8465897248, 24203.693179985457
5.555555555555556 , -13372.90725517592, 26745.814510799453
5.605605605605606 , -14777.813392135644, 29555.626784651828
